iter	Passed	Remaining
542	2511	2113
543	2515	2108
544	2518	2102
545	2521	2097
546	2525	2091
547	2529	2086
548	2533	2081
549	2537	2076
550	2541	2071
551	2545	2065
552	2548	2060
553	2552	2054
554	2555	2049
555	2559	2043
556	2562	2038
557	2566	2032
558	2570	2027
559	2573	2022
560	2577	2016
561	2581	2011
562	2584	2006
563	2588	2000
564	2591	1995
565	2595	1989
566	2598	1984
567	2601	1978
568	2605	1973
569	2608	1968
570	2612	1962
571	2615	1957
572	2619	1952
573	2623	1946
574	2627	1941
575	2631	1936
576	2634	1931
577	2638	1926
578	2641	1920
579	2645	1915
580	2649	1910
581	2653	1905
582	2656	1900
583	2661	1895
584	2664	1890
585	2669	1885
586	2673	1880
587	2676	1875
588	2680	1870
589	2684	1865
590	2688	1860
591	2692	1855
592	2695	1850
593	2699	1845
594	2702	1839
595	2706	1834
596	2710	1829
597	2713	1824
598	2717	1819
599	2722	1814
600	2726	1810
601	2731	1805
602	2735	1800
603	2739	1796
604	2743	1791
605	2748	1786
606	2752	1781
607	2757	1777
608	2761	1772
609	2764	1767
610	2768	1762
611	2772	1757
612	2775	1752
613	2779	1747
614	2783	1742
615	2787	1737
616	2790	1732
617	2794	1727
618	2798	1722
619	2801	1717
620	2805	1712
621	2809	1707
622	2813	1702
623	2816	1697
624	2820	1692
625	2824	1687
626	2827	1682
627	2831	1677
628	2835	1672
629	2838	1667
630	2842	1662
631	2846	1657
632	2850	1652
633	2853	1647
634	2857	1642
635	2862	1638
636	2865	1633
637	2870	1628
638	2874	1623
639	2877	1618
640	2881	1613
641	2884	1608
642	2888	1603
643	2892	1598
644	2895	1593
645	2899	1589
646	2903	1584
647	2907	1579
648	2911	1574
649	2915	1569
650	2918	1564
651	2922	1559
652	2926	1555
653	2930	1550
654	2933	1545
655	2937	1540
656	2941	1535
657	2945	1530
658	2948	1525
659	2952	1520
660	2955	1515
661	2959	1511
662	2963	1506
663	2967	1501
664	2970	1496
665	2974	1491
666	2978	1486
667	2981	1482
668	2985	1477
669	2989	1472
670	2993	1467
671	2996	1462
672	3000	1457
673	3004	1453
674	3008	1448
675	3012	1443
676	3016	1439
677	3020	1434
678	3023	1429
679	3027	1424
680	3031	1420
681	3035	1415
682	3039	1410
683	3042	1405
684	3046	1400
685	3050	1396
686	3055	1392
687	3059	1387
688	3064	1383
689	3068	1378
690	3071	1373
691	3075	1368
692	3079	1364
693	3083	1359
694	3087	1354
695	3090	1349
696	3094	1345
697	3098	1340
698	3102	1336
699	3106	1331
700	3110	1326
701	3114	1321
702	3117	1317
703	3121	1312
704	3125	1307
705	3128	1302
706	3133	1298
707	3136	1293
708	3140	1288
709	3143	1284
710	3147	1279
711	3151	1274
712	3154	1269
713	3158	1265
714	3161	1260
715	3165	1255
716	3168	1250
717	3172	1245
718	3175	1241
719	3179	1236
720	3182	1231
721	3186	1226
722	3189	1222
723	3193	1217
724	3197	1212
725	3201	1208
726	3204	1203
727	3208	1198
728	3212	1194
729	3216	1189
730	3220	1185
731	3224	1180
732	3228	1176
733	3232	1171
734	3236	1167
735	3240	1162
736	3244	1157
737	3248	1153
738	3252	1148
739	3256	1144
740	3260	1139
741	3263	1134
742	3267	1130
743	3271	1125
744	3275	1121
745	3280	1117
746	3285	1112
747	3290	1108
748	3293	1103
749	3297	1099
750	3301	1094
751	3305	1090
752	3309	1085
753	3313	1080
754	3316	1076
755	3320	1071
756	3324	1067
757	3327	1062
758	3331	1057
759	3335	1053
760	3338	1048
761	3342	1043
762	3346	1039
763	3349	1034
764	3353	1030
765	3357	1025
766	3360	1020
767	3364	1016
768	3367	1011
769	3371	1007
770	3374	1002
771	3378	997
772	3381	993
773	3385	988
774	3389	984
775	3393	979
776	3396	974
777	3400	970
778	3404	965
779	3407	961
780	3411	956
781	3415	952
782	3419	947
783	3422	942
784	3426	938
785	3430	933
786	3434	929
787	3438	925
788	3442	920
789	3446	916
790	3450	911
791	3454	907
792	3458	902
793	3462	898
794	3465	893
795	3469	889
796	3472	884
797	3476	880
798	3480	875
799	3483	870
800	3487	866
801	3490	861
802	3494	857
803	3498	852
804	3502	848
805	3506	843
806	3509	839
807	3513	834
808	3516	830
809	3520	825
810	3524	821
811	3527	816
812	3530	812
813	3534	807
814	3537	803
815	3541	798
816	3544	793
817	3547	789
818	3550	784
819	3554	780
820	3557	775
821	3560	771
822	3563	766
823	3567	761
824	3570	757
825	3573	752
826	3576	748
827	3580	743
828	3584	739
829	3588	734
830	3591	730
831	3595	725
832	3598	721
833	3602	717
834	3606	712
835	3610	708
836	3615	704
837	3619	699
838	3624	695
839	3628	691
840	3635	687
841	3640	683
842	3644	678
843	3649	674
844	3653	670
845	3657	665
846	3661	661
847	3665	657
848	3668	652
849	3672	648
850	3675	643
851	3679	639
852	3682	634
853	3686	630
854	3691	626
855	3695	621
856	3700	617
857	3705	613
858	3709	608
859	3713	604
860	3717	600
861	3721	595
862	3725	591
863	3728	586
864	3732	582
865	3736	578
866	3740	573
867	3743	569
868	3747	564
869	3750	560
870	3754	556
871	3758	551
872	3761	547
873	3764	542
874	3768	538
875	3772	534
876	3776	529
877	3779	525
878	3783	520
879	3787	516
880	3790	512
881	3794	507
882	3798	503
883	3802	498
884	3805	494
885	3809	490
886	3813	485
887	3816	481
888	3820	477
889	3824	472
890	3831	468
891	3835	464
892	3839	460
893	3843	455
894	3846	451
895	3850	446
896	3854	442
897	3857	438
898	3861	433
899	3865	429
900	3868	425
901	3872	420
902	3875	416
903	3879	411
904	3882	407
905	3886	403
906	3889	398
907	3893	394
908	3896	390
909	3900	385
910	3903	381
911	3907	377
912	3910	372
913	3914	368
914	3917	363
915	3921	359
916	3924	355
917	3928	350
918	3931	346
919	3934	342
920	3938	337
921	3941	333
922	3945	329
923	3948	324
924	3952	320
925	3955	316
926	3958	311
927	3962	307
928	3966	303
929	3969	298
930	3973	294
931	3977	290
932	3980	285
933	3983	281
934	3987	277
935	3991	272
936	3994	268
937	3998	264
938	4002	259
939	4005	255
940	4010	251
941	4015	247
942	4019	242
943	4023	238
944	4026	234
945	4030	230
946	4034	225
947	4038	221
948	4041	217
949	4045	212
950	4049	208
951	4053	204
952	4056	200
953	4060	195
954	4063	191
955	4068	187
956	4071	182
957	4075	178
958	4078	174
959	4082	170
960	4086	165
961	4089	161
962	4093	157
963	4096	152
964	4100	148
965	4104	144
966	4107	140
967	4112	135
968	4115	131
969	4119	127
970	4122	123
971	4126	118
972	4130	114
973	4133	110
974	4137	106
975	4141	101
976	4144	97
977	4148	93
978	4152	89
979	4155	84
980	4159	80
981	4163	76
982	4167	72
983	4171	67
984	4174	63
985	4178	59
986	4182	55
987	4186	50
988	4190	46
989	4194	42
990	4198	38
991	4202	33
992	4205	29
993	4209	25
994	4214	21
995	4217	16
996	4221	12
997	4225	8
998	4229	4
999	4233	0
